Label,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,
walking,0,-222.853241,902.861267,-1183.216919,-125.580727,904.509338,-1194.501465,-127.984093,559.213928,-1223.980713,-136.763321,85.384041,-1314.005371,-63.261932,12.595757,-1191.800415,-320.125763,901.213135,-1171.932373,-323.855988,554.692322,-1175.563599,-337.522705,76.304314,-1236.015381,-364.65097,7.331178,-1094.094971,-118.748482,959.542603,-1057.856323,,,,,,,-319.282715,968.580811,-1036.129028,-33.057968,703.021301,-1175.258179,-58.909893,535.791626,-1194.619019,-62.090588,335.979675,-1293.847168,-95.224274,76.47393,-1311.221924,,,,-54.378262,37.363689,-1159.395752,-441.648743,857.629761,-1109.81604,-386.511627,538.293335,-1106.521851,-398.303101,211.281357,-1193.75708,-381.555359,92.12735,-1217.324219,-304.222473,24.540333,-1287.390869,-372.883484,41.567673,-1068.661865,-95.224274,76.47393,-1311.221924,-118.748482,959.542603,-1057.856323,,,,-58.909893,535.791626,-1194.619019,,,,-33.057968,703.021301,-1175.258179,-62.090588,335.979675,-1293.847168,-54.378262,37.363689,-1159.395752,-381.555359,92.12735,-1217.324219,-319.282715,968.580811,-1036.129028,-304.222473,24.540333,-1287.390869,-386.511627,538.293335,-1106.521851,,,,-441.648743,857.629761,-1109.81604,-398.303101,211.281357,-1193.75708,-372.883484,41.567673,-1068.661865,,,
walking,0.008333,-223.512039,903.023499,-1182.58606,-126.257004,904.644653,-1194.023926,-128.31665,559.361572,-1223.67334,-136.655075,85.558296,-1313.879761,-63.274601,12.751564,-1191.613159,-320.76709,901.402283,-1171.148193,-324.010437,554.871033,-1174.19812,-337.451752,76.607582,-1235.677246,-364.536499,7.570282,-1093.779785,-119.317467,959.400574,-1057.572021,,,,,,,-319.930573,968.656555,-1035.119751,-33.653606,703.266541,-1174.502808,-59.092762,536.078674,-1194.285156,-61.964943,335.866089,-1294.147827,-95.125755,77.265488,-1310.356201,,,,-54.486599,37.513447,-1159.195312,-441.017303,858.890381,-1107.068604,-386.599609,538.666443,-1104.992188,-398.313568,211.114426,-1193.662476,-381.608063,92.084785,-1217.335815,-303.828217,25.404917,-1286.349365,-372.872009,41.825005,-1068.539307,-95.125755,77.265488,-1310.356201,-119.317467,959.400574,-1057.572021,,,,-59.092762,536.078674,-1194.285156,,,,-33.653606,703.266541,-1174.502808,-61.964943,335.866089,-1294.147827,-54.486599,37.513447,-1159.195312,-381.608063,92.084785,-1217.335815,-319.930573,968.656555,-1035.119751,-303.828217,25.404917,-1286.349365,-386.599609,538.666443,-1104.992188,,,,-441.017303,858.890381,-1107.068604,-398.313568,211.114426,-1193.662476,-372.872009,41.825005,-1068.539307,,,
walking,0.016667,-224.069427,902.49762,-1182.874023,-126.815659,904.09491,-1194.32605,-128.536591,558.822937,-1224.125366,-136.406525,85.031715,-1314.437134,-63.14399,12.519136,-1191.925415,-321.323212,900.900269,-1171.422119,-324.314148,554.361572,-1173.823853,-337.652466,76.211151,-1236.198486,-364.478119,7.58557,-1094.052368,-119.78038,958.990845,-1057.729858,,,,,,,-320.178101,968.24115,-1035.458862,-33.679661,702.765137,-1175.034058,-59.472992,535.493164,-1195.130005,-61.930241,335.842407,-1294.149536,-95.014702,76.080704,-1311.543091,,,,-54.418541,37.34071,-1159.547485,-443.110687,857.402161,-1109.227661,-386.862213,538.088196,-1104.424805,-398.456329,211.035248,-1193.063965,-381.666504,92.077568,-1217.212158,-304.334991,24.311682,-1287.571289,-372.703674,41.905067,-1068.723999,-95.014702,76.080704,-1311.543091,-119.78038,958.990845,-1057.729858,,,,-59.472992,535.493164,-1195.130005,,,,-33.679661,702.765137,-1175.034058,-61.930241,335.842407,-1294.149536,-54.418541,37.34071,-1159.547485,-381.666504,92.077568,-1217.212158,-320.178101,968.24115,-1035.458862,-304.334991,24.311682,-1287.571289,-386.862213,538.088196,-1104.424805,,,,-443.110687,857.402161,-1109.227661,-398.456329,211.035248,-1193.063965,-372.703674,41.905067,-1068.723999,,,
walking,0.025,-224.71225,902.604248,-1182.370361,-127.471176,904.18042,-1193.932617,-128.875336,558.930725,-1224.006226,-136.334183,85.151611,-1314.416016,-63.147888,12.626976,-1191.865845,-321.953339,901.028015,-1170.807983,-324.500031,554.481812,-1172.529541,-337.606537,76.450645,-1235.859863,-364.299652,7.801972,-1093.699951,-120.30764,958.878357,-1057.327515,,,,,,,-320.799561,968.240662,-1034.818237,-34.223396,702.962341,-1174.963745,-59.755669,535.620483,-1195.017944,-61.866734,335.709839,-1294.501221,-94.912254,76.772728,-1310.92627,,,,-54.496613,37.437805,-1159.480347,-442.920776,858.248535,-1107.246216,-387.010773,538.340271,-1102.871826,-398.611877,210.99472,-1192.379761,-381.711884,92.073936,-1217.063599,-303.993652,25.108007,-1286.728516,-372.611877,42.168369,-1068.551147,-94.912254,76.772728,-1310.92627,-120.30764,958.878357,-1057.327515,,,,-59.755669,535.620483,-1195.017944,,,,-34.223396,702.962341,-1174.963745,-61.866734,335.709839,-1294.501221,-54.496613,37.437805,-1159.480347,-381.711884,92.073936,-1217.063599,-320.799561,968.240662,-1034.818237,-303.993652,25.108007,-1286.728516,-387.010773,538.340271,-1102.871826,,,,-442.920776,858.248535,-1107.246216,-398.611877,210.99472,-1192.379761,-372.611877,42.168369,-1068.551147,,,
walking,0.033333,-225.391296,902.383179,-1182.335571,-128.15242,903.948425,-1193.917725,-129.204788,558.711975,-1224.157104,-136.168579,84.93647,-1314.626099,-63.087776,12.581356,-1191.91272,-322.630157,900.817871,-1170.753418,-324.830292,554.266418,-1171.73645,-337.711609,76.341599,-1235.910156,-364.154877,7.932,-1093.588379,-120.852455,958.657532,-1057.258545,,,,,,,-321.341827,968.033569,-1034.807373,-34.626244,702.931274,-1175.01062,-60.048462,535.550537,-1195.21582,-61.920536,335.649994,-1294.589722,-94.835762,76.315178,-1311.239624,,,,-54.507935,37.441341,-1159.562866,-444.638214,857.386292,-1108.270142,-387.308685,538.060303,-1101.950439,-398.804962,210.978134,-1191.490234,-381.721252,92.109459,-1216.829834,-304.221497,24.720533,-1287.098633,-372.436829,42.359638,-1068.466187,-94.835762,76.315178,-1311.239624,-120.852455,958.657532,-1057.258545,,,,-60.048462,535.550537,-1195.21582,,,,-34.626244,702.931274,-1175.01062,-61.920536,335.649994,-1294.589722,-54.507935,37.441341,-1159.562866,-381.721252,92.109459,-1216.829834,-321.341827,968.033569,-1034.807373,-304.221497,24.720533,-1287.098633,-387.308685,538.060303,-1101.950439,,,,-444.638214,857.386292,-1108.270142,-398.804962,210.978134,-1191.490234,-372.436829,42.359638,-1068.466187,,,
walking,0.041667,-226.08606,902.15686,-1182.467285,-128.84816,903.705139,-1194.060059,-129.558792,558.485779,-1224.504517,-136.054565,84.713486,-1315.024536,-63.050972,12.493074,-1192.186035,-323.323975,900.608643,-1170.874634,-325.135529,554.053589,-1171.129639,-337.817932,76.217056,-1235.99646,-363.935333,7.947683,-1093.547241,-121.587311,958.382141,-1057.342163,,,,,,,-322.035095,967.752563,-1035.114746,-35.003696,702.65802,-1175.649658,-60.465454,535.261597,-1195.606812,-62.008705,335.626251,-1294.814331,-94.784203,75.818733,-1312.021851,,,,-54.508511,37.351181,-1159.810791,-444.882507,857.412476,-1107.538452,-387.731598,537.593445,-1101.566284,-398.980225,210.92836,-1190.707886,-381.711304,92.111542,-1216.703369,-304.271606,24.691221,-1287.216309,-372.24942,42.426598,-1068.5448,-94.784203,75.818733,-1312.021851,-121.587311,958.382141,-1057.342163,,,,-60.465454,535.261597,-1195.606812,,,,-35.003696,702.65802,-1175.649658,-62.008705,335.626251,-1294.814331,-54.508511,37.351181,-1159.810791,-381.711304,92.111542,-1216.703369,-322.035095,967.752563,-1035.114746,-304.271606,24.691221,-1287.216309,-387.731598,537.593445,-1101.566284,,,,-444.882507,857.412476,-1107.538452,-398.980225,210.92836,-1190.707886,-372.24942,42.426598,-1068.5448,,,
walking,0.05,-227.08876,902.332397,-1181.873779,-129.869186,903.891113,-1193.617798,-130.141068,558.681274,-1224.176636,-136.077225,84.924492,-1314.816528,-63.065575,12.61165,-1192.037109,-324.30835,900.773743,-1170.129761,-325.502136,554.216125,-1169.74353,-337.791992,76.494934,-1235.528442,-363.69873,8.154221,-1093.075073,-122.546059,958.334534,-1057.110107,,,,,,,-322.968933,967.824097,-1034.175659,-35.780979,702.844666,-1175.138672,-60.773502,535.609619,-1195.054077,-62.162647,335.61026,-1294.870728,-94.760117,76.606201,-1311.056763,,,,-54.596481,37.455383,-1159.704712,-445.059906,857.948792,-1105.503906,-387.867798,537.868591,-1100.004639,-399.189667,210.986389,-1189.771851,-381.735596,92.161591,-1216.443237,-303.950745,25.409492,-1286.304688,-372.139771,42.670624,-1068.290894,-94.760117,76.606201,-1311.056763,-122.546059,958.334534,-1057.110107,,,,-60.773502,535.609619,-1195.054077,,,,-35.780979,702.844666,-1175.138672,-62.162647,335.61026,-1294.870728,-54.596481,37.455383,-1159.704712,-381.735596,92.161591,-1216.443237,-322.968933,967.824097,-1034.175659,-303.950745,25.409492,-1286.304688,-387.867798,537.868591,-1100.004639,,,,-445.059906,857.948792,-1105.503906,-399.189667,210.986389,-1189.771851,-372.139771,42.670624,-1068.290894,,,
walking,0.058333,-227.934113,901.838013,-1182.260132,-130.731018,903.404846,-1194.138794,-130.583786,558.19342,-1224.680542,-135.976608,84.443893,-1315.39209,-62.979393,12.379587,-1192.45813,-325.137207,900.271179,-1170.381592,-325.959747,553.713196,-1169.584595,-337.996704,76.082024,-1236.06665,-363.540955,8.018822,-1093.415039,-123.194664,957.925171,-1057.767456,,,,,,,-323.417023,967.43988,-1034.363892,-36.092865,702.268311,-1175.679688,-61.327721,534.959595,-1195.780396,-62.387199,335.685455,-1294.750122,-94.750244,75.272636,-1312.706055,,,,-54.536713,37.267216,-1160.116577,-446.564728,856.888794,-1106.5,-388.479523,536.690063,-1100.55542,-399.264099,210.939774,-1189.333374,-381.697418,92.151321,-1216.462158,-304.346893,24.516554,-1287.359009,-371.955841,42.54097,-1068.641357,-94.750244,75.272636,-1312.706055,-123.194664,957.925171,-1057.767456,,,,-61.327721,534.959595,-1195.780396,,,,-36.092865,702.268311,-1175.679688,-62.387199,335.685455,-1294.750122,-54.536713,37.267216,-1160.116577,-381.697418,92.151321,-1216.462158,-323.417023,967.43988,-1034.363892,-304.346893,24.516554,-1287.359009,-388.479523,536.690063,-1100.55542,,,,-446.564728,856.888794,-1106.5,-399.264099,210.939774,-1189.333374,-371.955841,42.54097,-1068.641357,,,
walking,0.066667,-228.938629,902.110352,-1181.435303,-131.755203,903.706909,-1193.469849,-131.182526,558.50293,-1224.09082,-136.054657,84.803406,-1315.092651,-63.02803,12.559898,-1192.281494,-326.12204,900.513794,-1169.400757,-326.381012,553.9552,-1168.509277,-337.91864,76.408745,-1235.684692,-363.306274,8.248061,-1093.051636,-124.233406,958.141602,-1057.086548,,,,,,,-324.295532,967.576233,-1033.253174,-36.958244,702.608398,-1174.940918,-61.709377,535.463013,-1194.9729,-62.594204,335.646576,-1294.797485,-94.748909,76.448265,-1311.409546,,,,-54.653496,37.405491,-1159.949463,-446.140961,857.911499,-1103.418091,-389.21817,536.435974,-1099.994385,-399.288513,210.846313,-1189.193115,-381.683655,92.143097,-1216.474243,-303.886902,25.455475,-1286.286743,-371.885712,42.75684,-1068.408081,-94.748909,76.448265,-1311.409546,-124.233406,958.141602,-1057.086548,,,,-61.709377,535.463013,-1194.9729,,,,-36.958244,702.608398,-1174.940918,-62.594204,335.646576,-1294.797485,-54.653496,37.405491,-1159.949463,-381.683655,92.143097,-1216.474243,-324.295532,967.576233,-1033.253174,-303.886902,25.455475,-1286.286743,-389.21817,536.435974,-1099.994385,,,,-446.140961,857.911499,-1103.418091,-399.288513,210.846313,-1189.193115,-371.885712,42.75684,-1068.408081,,,
walking,0.075,-229.795776,901.728333,-1181.561768,-132.623764,903.346924,-1193.685181,-131.643478,558.132751,-1224.180542,-136.00827,84.469078,-1315.394287,-62.964684,12.441874,-1192.466187,-326.967773,900.109741,-1169.438477,-326.907227,553.551331,-1168.454346,-338.089813,76.067505,-1236.133179,-363.172302,8.256279,-1093.279663,-124.867836,957.716431,-1057.384277,,,,,,,-324.873383,967.308044,-1033.237183,-37.361645,702.359009,-1175.088989,-62.188717,535.269348,-1195.09314,-62.878468,335.67868,-1294.559204,-94.781898,75.430382,-1312.460327,,,,-54.628139,37.350426,-1160.143066,-448.023987,856.482178,-1104.913818,-389.836426,535.849792,-1100.053711,-399.341034,210.805161,-1188.914429,-381.692322,92.197029,-1216.253784,-304.258362,24.528402,-1287.283691,-371.728455,42.806286,-1068.615845,-94.781898,75.430382,-1312.460327,-124.867836,957.716431,-1057.384277,,,,-62.188717,535.269348,-1195.09314,,,,-37.361645,702.359009,-1175.088989,-62.878468,335.67868,-1294.559204,-54.628139,37.350426,-1160.143066,-381.692322,92.197029,-1216.253784,-324.873383,967.308044,-1033.237183,-304.258362,24.528402,-1287.283691,-389.836426,535.849792,-1100.053711,,,,-448.023987,856.482178,-1104.913818,-399.341034,210.805161,-1188.914429,-371.728455,42.806286,-1068.615845,,,
