Label,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,
walking,0,-0.183486,903.08197,1638.539551,-97.938698,908.691711,1636.431763,-120.644867,567.512878,1692.869385,-151.220291,108.737114,1838.767578,-197.625946,26.267349,1709.616943,97.571732,897.472229,1640.647339,79.866409,552.212097,1664.849487,51.595333,86.398781,1786.97644,98.406242,17.671816,1650.155518,-81.390976,971.9021,1500.125,-78.803261,1042.402344,1747.567017,65.617256,1038.32959,1753.082642,118.671371,969.235718,1502.637817,-199.201843,728.188293,1621.440308,-187.074661,556.464905,1658.345459,-205.755981,360.862701,1781.932983,-193.512024,102.669449,1836.013306,-139.008713,55.317535,1894.539185,-207.395111,46.51088,1674.841797,229.13266,857.687683,1609.432129,154.760513,534.485474,1606.192017,119.433525,209.908188,1751.197632,94.28318,97.665146,1783.586792,19.922834,28.073181,1841.028442,105.762497,50.538422,1618.610474,-193.512024,102.669449,1836.013306,-81.390976,971.9021,1500.125,-139.008713,55.317535,1894.539185,-187.074661,556.464905,1658.345459,-78.803261,1042.402344,1747.567017,-199.201843,728.188293,1621.440308,-205.755981,360.862701,1781.932983,-207.395111,46.51088,1674.841797,94.28318,97.665146,1783.586792,118.671371,969.235718,1502.637817,19.922834,28.073181,1841.028442,154.760513,534.485474,1606.192017,65.617256,1038.32959,1753.082642,229.13266,857.687683,1609.432129,119.433525,209.908188,1751.197632,105.762497,50.538422,1618.610474,,,,,,
walking,0.008333,-0.173722,902.945618,1638.338013,-97.933441,908.522278,1636.353027,-120.664879,567.410828,1693.186157,-151.221024,108.575912,1838.9021,-197.685562,26.261047,1709.673828,97.585991,897.369019,1640.322876,79.931129,552.066467,1663.947876,51.842934,86.467743,1786.932251,98.436157,17.636791,1650.089233,-81.617584,971.789062,1499.956421,-78.660194,1042.152466,1747.543701,65.696083,1038.220947,1752.973389,118.455994,969.255615,1502.403442,-199.125137,727.986267,1621.602661,-187.02858,556.417786,1658.836426,-205.712677,360.908966,1782.431641,-193.551773,102.568222,1836.157104,-139.012878,55.086601,1894.605835,-207.460907,46.5331,1674.911743,228.987076,857.598022,1608.799683,154.917419,534.163513,1604.872803,119.854271,209.892456,1750.244751,94.508125,97.671593,1783.364624,20.20731,28.156631,1841.141724,105.724899,50.50436,1618.591187,-193.551773,102.568222,1836.157104,-81.617584,971.789062,1499.956421,-139.012878,55.086601,1894.605835,-187.02858,556.417786,1658.836426,-78.660194,1042.152466,1747.543701,-199.125137,727.986267,1621.602661,-205.712677,360.908966,1782.431641,-207.460907,46.5331,1674.911743,94.508125,97.671593,1783.364624,118.455994,969.255615,1502.403442,20.20731,28.156631,1841.141724,154.917419,534.163513,1604.872803,65.696083,1038.220947,1752.973389,228.987076,857.598022,1608.799683,119.854271,209.892456,1750.244751,105.724899,50.50436,1618.591187,,,,,,
walking,0.016667,-0.158381,902.853638,1638.133545,-97.920242,908.435486,1636.274658,-120.67984,567.386108,1693.467773,-151.213867,108.494308,1839.008911,-197.727844,26.258738,1709.748047,97.60347,897.271729,1639.99231,79.987137,551.926514,1663.015381,52.042225,86.559769,1786.907104,98.417847,17.64793,1650.031006,-81.847748,971.799194,1499.74939,-78.43383,1041.976807,1747.528442,65.833298,1038.166504,1752.806396,118.224983,969.221436,1502.195801,-199.002991,727.880981,1621.765137,-186.953003,556.504028,1659.266479,-205.674072,360.99527,1782.911621,-193.527588,102.527336,1836.288818,-139.015198,55.030243,1894.633057,-207.50676,46.546864,1674.999023,228.918121,857.324158,1608.346313,155.079834,533.788208,1603.541748,120.150017,209.783493,1749.357666,94.678963,97.595825,1783.208374,20.486729,28.25712,1841.301758,105.639336,50.529427,1618.539917,-193.527588,102.527336,1836.288818,-81.847748,971.799194,1499.74939,-139.015198,55.030243,1894.633057,-186.953003,556.504028,1659.266479,-78.43383,1041.976807,1747.528442,-199.002991,727.880981,1621.765137,-205.674072,360.99527,1782.911621,-207.50676,46.546864,1674.999023,94.678963,97.595825,1783.208374,118.224983,969.221436,1502.195801,20.486729,28.25712,1841.301758,155.079834,533.788208,1603.541748,65.833298,1038.166504,1752.806396,228.918121,857.324158,1608.346313,120.150017,209.783493,1749.357666,105.639336,50.529427,1618.539917,,,,,,
walking,0.025,-0.143327,902.802002,1637.892456,-97.906105,908.412903,1636.171143,-120.681129,567.421814,1693.70459,-151.171341,108.479828,1839.096802,-197.736862,26.253923,1709.848267,97.619453,897.191101,1639.613892,80.004562,551.806641,1662.041748,52.189823,86.677315,1786.850952,98.34079,17.657198,1649.953247,-82.062317,971.863342,1499.516968,-78.17057,1041.845337,1747.505005,65.987259,1038.110474,1752.591675,118.030968,969.179626,1501.930298,-198.819702,727.860168,1621.978271,-186.838333,556.658447,1659.623169,-205.592163,361.078125,1783.351807,-193.478912,102.528114,1836.40625,-138.992004,55.027409,1894.70752,-207.525848,46.528931,1675.079834,228.843384,857.206604,1607.510864,155.125595,533.559998,1602.218872,120.207451,209.589249,1748.701538,94.77668,97.61673,1782.943848,20.742369,28.458128,1841.432861,105.511314,50.543446,1618.421631,-193.478912,102.528114,1836.40625,-82.062317,971.863342,1499.516968,-138.992004,55.027409,1894.70752,-186.838333,556.658447,1659.623169,-78.17057,1041.845337,1747.505005,-198.819702,727.860168,1621.978271,-205.592163,361.078125,1783.351807,-207.525848,46.528931,1675.079834,94.77668,97.61673,1782.943848,118.030968,969.179626,1501.930298,20.742369,28.458128,1841.432861,155.125595,533.559998,1602.218872,65.987259,1038.110474,1752.591675,228.843384,857.206604,1607.510864,120.207451,209.589249,1748.701538,105.511314,50.543446,1618.421631,,,,,,
walking,0.033333,-0.062282,902.968506,1637.545288,-97.827576,908.577148,1635.967041,-120.637299,567.621826,1693.698364,-151.109589,108.675804,1839.081665,-197.738632,26.344568,1709.922974,97.703018,897.359924,1639.123413,79.768883,551.950195,1660.901367,51.284695,86.81282,1785.529419,98.073723,17.587334,1648.952515,-82.231194,972.017761,1499.233521,-77.827477,1041.803223,1747.381104,66.176727,1038.071167,1752.203247,117.859665,969.12146,1501.626587,-198.635345,727.939148,1622.120483,-186.723221,556.845947,1659.853516,-205.535217,361.220795,1783.567871,-193.472824,102.605316,1836.427246,-138.972183,55.152851,1894.768555,-207.545166,46.527107,1675.11499,228.855942,857.024109,1606.837402,155.149994,533.29364,1601.17627,120.155212,209.397339,1748.116821,94.79744,97.715485,1782.69812,19.009193,29.99258,1838.112671,105.358284,50.558662,1618.298828,-193.472824,102.605316,1836.427246,-82.231194,972.017761,1499.233521,-138.972183,55.152851,1894.768555,-186.723221,556.845947,1659.853516,-77.827477,1041.803223,1747.381104,-198.635345,727.939148,1622.120483,-205.535217,361.220795,1783.567871,-207.545166,46.527107,1675.11499,94.79744,97.715485,1782.69812,117.859665,969.12146,1501.626587,19.009193,29.99258,1838.112671,155.149994,533.29364,1601.17627,66.176727,1038.071167,1752.203247,228.855942,857.024109,1606.837402,120.155212,209.397339,1748.116821,105.358284,50.558662,1618.298828,,,,,,
walking,0.041667,0.104109,903.121094,1637.237061,-97.664787,908.704346,1635.800537,-120.541573,567.784851,1693.716675,-151.066635,108.827263,1839.052246,-197.725662,26.363029,1709.98938,97.873001,897.537903,1638.673706,79.748703,552.101257,1659.858032,50.943069,87.06498,1784.78894,97.794563,17.516933,1648.397705,-82.338867,972.204895,1499.00647,-77.457443,1041.820801,1747.260376,66.37735,1038.018799,1751.972656,117.763885,969.100098,1501.211548,-198.402786,728.043396,1622.197632,-186.523621,557.01123,1659.896729,-205.448746,361.342743,1783.636108,-193.44281,102.655571,1836.43689,-138.977478,55.319019,1894.821899,-207.531235,46.477585,1675.137085,229.375717,856.748718,1606.521973,155.069565,533.095032,1600.146362,120.082626,209.339966,1747.630615,94.734062,97.779938,1782.572998,18.460472,31.233559,1836.685059,105.226761,50.55513,1618.165894,-193.44281,102.655571,1836.43689,-82.338867,972.204895,1499.00647,-138.977478,55.319019,1894.821899,-186.523621,557.01123,1659.896729,-77.457443,1041.820801,1747.260376,-198.402786,728.043396,1622.197632,-205.448746,361.342743,1783.636108,-207.531235,46.477585,1675.137085,94.734062,97.779938,1782.572998,117.763885,969.100098,1501.211548,18.460472,31.233559,1836.685059,155.069565,533.095032,1600.146362,66.37735,1038.018799,1751.972656,229.375717,856.748718,1606.521973,120.082626,209.339966,1747.630615,105.226761,50.55513,1618.165894,,,,,,
walking,0.05,0.31838,903.167908,1636.859131,-97.453362,908.724121,1635.505615,-120.422859,567.874878,1693.797363,-151.06749,108.873756,1838.970459,-197.766388,26.327171,1709.974609,98.090118,897.611694,1638.212646,79.967628,552.13269,1658.696289,51.250824,87.351532,1784.593628,97.239334,17.604715,1648.009888,-82.35376,972.382019,1498.721802,-77.037514,1041.94519,1746.834106,66.567451,1037.958862,1751.734863,117.739838,969.101685,1500.728027,-198.131271,728.17804,1622.125244,-186.320343,557.165161,1659.823486,-205.390228,361.531525,1783.51416,-193.444229,102.850235,1836.332886,-138.997681,55.510342,1894.786377,-207.538712,46.468742,1675.08667,229.622269,856.514893,1605.958008,154.931885,532.991699,1599.396973,119.947723,209.444122,1747.158203,94.74633,97.98027,1782.209106,18.438372,31.553228,1836.377441,105.09668,50.58593,1617.980103,-193.444229,102.850235,1836.332886,-82.35376,972.382019,1498.721802,-138.997681,55.510342,1894.786377,-186.320343,557.165161,1659.823486,-77.037514,1041.94519,1746.834106,-198.131271,728.17804,1622.125244,-205.390228,361.531525,1783.51416,-207.538712,46.468742,1675.08667,94.74633,97.98027,1782.209106,117.739838,969.101685,1500.728027,18.438372,31.553228,1836.377441,154.931885,532.991699,1599.396973,66.567451,1037.958862,1751.734863,229.622269,856.514893,1605.958008,119.947723,209.444122,1747.158203,105.09668,50.58593,1617.980103,,,,,,
walking,0.058333,0.434162,903.232117,1636.475098,-97.335617,908.839966,1635.195557,-120.351944,568.019897,1693.639404,-151.055862,109.027176,1838.826294,-197.778152,26.347996,1709.92395,98.203934,897.624268,1637.754517,80.049751,552.140015,1658.120605,51.456772,87.475182,1784.474609,96.802559,17.672405,1647.704834,-82.287727,972.56543,1498.464844,-76.721573,1042.019775,1746.447388,66.798134,1037.939575,1751.428833,117.791283,969.109863,1500.230591,-197.859528,728.335938,1621.951782,-186.089111,557.330139,1659.645508,-205.351639,361.685608,1783.331665,-193.470566,103.050117,1836.192993,-139.025848,55.75642,1894.69165,-207.526443,46.4543,1675.006592,229.409073,856.453979,1604.785645,154.736252,532.960388,1598.968872,119.736786,209.49614,1747.084106,94.665375,98.111885,1782.060059,18.402214,31.825335,1835.99292,104.960381,50.612862,1617.842407,-193.470566,103.050117,1836.192993,-82.287727,972.56543,1498.464844,-139.025848,55.75642,1894.69165,-186.089111,557.330139,1659.645508,-76.721573,1042.019775,1746.447388,-197.859528,728.335938,1621.951782,-205.351639,361.685608,1783.331665,-207.526443,46.4543,1675.006592,94.665375,98.111885,1782.060059,117.791283,969.109863,1500.230591,18.402214,31.825335,1835.99292,154.736252,532.960388,1598.968872,66.798134,1037.939575,1751.428833,229.409073,856.453979,1604.785645,119.736786,209.49614,1747.084106,104.960381,50.612862,1617.842407,,,,,,
walking,0.066667,0.575052,903.295044,1636.01062,-97.191841,908.967529,1634.795044,-120.273132,568.173401,1693.364258,-151.058914,109.216156,1838.645874,-197.792175,26.384912,1709.845093,98.341942,897.622498,1637.226196,80.085449,552.15802,1657.834717,51.578552,87.558624,1784.448608,96.516251,17.707035,1647.569092,-82.119125,972.756226,1498.127808,-76.43454,1042.105103,1746.082397,67.022652,1037.937866,1750.806152,117.911545,969.118713,1499.679077,-197.626541,728.5271,1621.685181,-185.885254,557.517456,1659.406128,-205.332321,361.879028,1783.016235,-193.522034,103.302841,1835.996582,-139.063934,56.020599,1894.552612,-207.510941,46.452457,1674.921875,229.378616,856.370605,1603.789185,154.503693,532.9422,1598.796509,119.693939,209.66983,1746.7854,94.604683,98.234375,1781.832397,18.418554,31.869286,1835.973755,104.805122,50.607258,1617.75769,-193.522034,103.302841,1835.996582,-82.119125,972.756226,1498.127808,-139.063934,56.020599,1894.552612,-185.885254,557.517456,1659.406128,-76.43454,1042.105103,1746.082397,-197.626541,728.5271,1621.685181,-205.332321,361.879028,1783.016235,-207.510941,46.452457,1674.921875,94.604683,98.234375,1781.832397,117.911545,969.118713,1499.679077,18.418554,31.869286,1835.973755,154.503693,532.9422,1598.796509,67.022652,1037.937866,1750.806152,229.378616,856.370605,1603.789185,119.693939,209.66983,1746.7854,104.805122,50.607258,1617.75769,,,,,,
walking,0.075,0.744858,903.388184,1635.547852,-97.017982,909.136047,1634.365967,-120.185822,568.366089,1693.041626,-151.090469,109.466316,1838.479736,-197.808212,26.457825,1709.787476,98.507698,897.64032,1636.729858,80.103065,552.208801,1657.755249,51.571377,87.634293,1784.455078,96.325294,17.763309,1647.525146,-81.918015,972.949341,1497.788208,-76.095482,1042.273315,1745.542236,67.296425,1037.965576,1750.319214,118.084496,969.11377,1499.148926,-197.458267,728.771057,1621.318604,-185.67659,557.715393,1659.098511,-205.325104,362.12381,1782.668091,-193.585434,103.629639,1835.784668,-139.12178,56.353123,1894.432129,-207.499802,46.481853,1674.866699,229.358902,856.22229,1603.072632,154.254288,532.943359,1598.755371,119.624237,209.775116,1746.652832,94.529617,98.318321,1781.737305,18.409477,31.89518,1835.986328,104.646797,50.638165,1617.743408,-193.585434,103.629639,1835.784668,-81.918015,972.949341,1497.788208,-139.12178,56.353123,1894.432129,-185.67659,557.715393,1659.098511,-76.095482,1042.273315,1745.542236,-197.458267,728.771057,1621.318604,-205.325104,362.12381,1782.668091,-207.499802,46.481853,1674.866699,94.529617,98.318321,1781.737305,118.084496,969.11377,1499.148926,18.409477,31.89518,1835.986328,154.254288,532.943359,1598.755371,67.296425,1037.965576,1750.319214,229.358902,856.22229,1603.072632,119.624237,209.775116,1746.652832,104.646797,50.638165,1617.743408,,,,,,
