Label,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
standing up,0,400.96347,504.30835,333.994232,414.242615,513.898315,430.553528,87.709633,529.268372,545.634949,189.528076,57.86702,556.129089,34.608139,19.39761,543.697693,387.684357,494.718353,237.434952,51.974834,512.256958,153.201233,166.236191,43.705612,143.190643,13.278275,13.453491,179.567963,,,,607.822571,505.33252,392.535767,,,,356.997284,625.236572,216.049545,263.33667,561.437988,594.578125,83.284431,533.074707,627.162048,118.699127,317.65448,627.75769,173.740234,80.861092,572.35083,231.643097,36.854767,513.121094,13.430692,46.24712,573.035706,375.583344,558.024963,73.928215,36.132622,524.628052,62.907867,118.27935,189.930649,96.524811,160.555847,82.620506,121.458313,218.648346,29.473782,190.427139,-11.070977,45.020023,145.882339,173.740234,80.861092,572.35083,,,,231.643097,36.854767,513.121094,83.284431,533.074707,627.162048,607.822571,505.33252,392.535767,263.33667,561.437988,594.578125,118.699127,317.65448,627.75769,13.430692,46.24712,573.035706,160.555847,82.620506,121.458313,356.997284,625.236572,216.049545,218.648346,29.473782,190.427139,36.132622,524.628052,62.907867,,,,375.583344,558.024963,73.928215,118.27935,189.930649,96.524811,-11.070977,45.020023,145.882339
standing up,0.008333,400.922028,504.329926,333.989716,414.204865,513.930115,430.547485,87.685196,529.373657,545.65686,189.496246,57.970047,556.118225,34.57296,19.517574,543.676392,387.639191,494.729736,237.431946,51.931919,512.283081,153.192566,166.182098,43.728233,143.2155,13.223529,13.447259,179.566025,,,,607.813477,505.33606,392.518951,,,,356.956543,625.239868,216.031052,263.261993,561.53772,594.612549,83.228012,533.16449,627.217529,118.634262,317.845428,627.845886,173.741272,81.122536,572.347473,231.640289,36.910313,513.085815,13.368391,46.364388,573.022522,375.558105,558.023071,73.915421,36.099655,524.612305,62.890598,118.249641,189.94693,96.527626,160.33168,82.575348,121.429085,218.557587,29.545206,190.464752,-11.060188,45.009178,145.879959,173.741272,81.122536,572.347473,,,,231.640289,36.910313,513.085815,83.228012,533.16449,627.217529,607.813477,505.33606,392.518951,263.261993,561.53772,594.612549,118.634262,317.845428,627.845886,13.368391,46.364388,573.022522,160.33168,82.575348,121.429085,356.956543,625.239868,216.031052,218.557587,29.545206,190.464752,36.099655,524.612305,62.890598,,,,375.558105,558.023071,73.915421,118.249641,189.94693,96.527626,-11.060188,45.009178,145.879959
standing up,0.016667,400.901672,504.29303,333.989471,414.188263,513.898254,430.546234,87.681206,529.296875,545.69751,189.524826,57.900757,556.178528,34.611107,19.412123,543.729004,387.615082,494.687836,237.432709,51.905544,512.225098,153.198853,166.204849,43.682873,143.187546,13.249606,13.423588,179.570251,,,,607.785828,505.327942,392.523071,,,,356.911835,625.202576,216.014053,263.299591,561.460632,594.613403,83.256912,533.093994,627.24115,118.673553,317.687683,627.827454,174.01091,80.966606,572.597534,231.60466,36.894764,513.134888,13.404922,46.257015,573.049683,375.519165,557.982544,73.958595,36.072327,524.592407,62.898426,118.250214,189.933914,96.530533,160.433777,82.354797,121.281258,218.610962,29.51075,190.439407,-11.080642,45.009766,145.898788,174.01091,80.966606,572.597534,,,,231.60466,36.894764,513.134888,83.256912,533.093994,627.24115,607.785828,505.327942,392.523071,263.299591,561.460632,594.613403,118.673553,317.687683,627.827454,13.404922,46.257015,573.049683,160.433777,82.354797,121.281258,356.911835,625.202576,216.014053,218.610962,29.51075,190.439407,36.072327,524.592407,62.898426,,,,375.519165,557.982544,73.958595,118.250214,189.933914,96.530533,-11.080642,45.009766,145.898788
standing up,0.025,400.884949,504.305176,333.9823,414.174255,513.91687,430.538055,87.67366,529.372314,545.700195,189.471893,57.965191,556.130432,34.559414,19.479561,543.656189,387.595642,494.693542,237.426514,51.892281,512.276794,153.177368,166.20282,43.736427,143.207153,13.248652,13.453249,179.574341,,,,607.780945,505.330383,392.508331,,,,356.900085,625.187378,216.000732,263.291351,561.511902,594.611023,83.252769,533.139587,627.258972,118.65062,317.813202,627.874084,173.553238,81.064819,572.244507,231.634445,36.934608,513.116211,13.378276,46.327072,573.012634,375.520508,558.015503,73.919014,36.052944,524.575989,62.871082,118.238693,189.939133,96.525833,160.45314,82.724518,121.524208,218.582886,29.534658,190.434494,-11.062235,45.008057,145.883087,173.553238,81.064819,572.244507,,,,231.634445,36.934608,513.116211,83.252769,533.139587,627.258972,607.780945,505.330383,392.508331,263.291351,561.511902,594.611023,118.65062,317.813202,627.874084,13.378276,46.327072,573.012634,160.45314,82.724518,121.524208,356.900085,625.187378,216.000732,218.582886,29.534658,190.434494,36.052944,524.575989,62.871082,,,,375.520508,558.015503,73.919014,118.238693,189.939133,96.525833,-11.062235,45.008057,145.883087
standing up,0.033333,400.856659,504.297546,333.97464,414.150848,513.91626,430.528992,87.672081,529.3573,545.754883,189.510727,57.958961,556.183228,34.594254,19.487545,543.714233,387.562439,494.678833,237.420258,51.855,512.244568,153.184036,166.173904,43.706894,143.188522,13.22706,13.408665,179.573944,,,,607.775024,505.329559,392.498657,,,,356.8591,625.192932,215.974991,263.265137,561.515381,594.643311,83.23233,533.134949,627.314392,118.641785,317.795013,627.901123,174.107071,81.033981,572.61499,231.598938,36.942284,513.115784,13.358536,46.344521,573.047729,375.466614,557.978333,73.955215,36.012779,524.564331,62.877037,118.230095,189.932693,96.523209,160.324036,82.334396,121.218384,218.549942,29.583424,190.447845,-11.064808,44.993126,145.90332,174.107071,81.033981,572.61499,,,,231.598938,36.942284,513.115784,83.23233,533.134949,627.314392,607.775024,505.329559,392.498657,263.265137,561.515381,594.643311,118.641785,317.795013,627.901123,13.358536,46.344521,573.047729,160.324036,82.334396,121.218384,356.8591,625.192932,215.974991,218.549942,29.583424,190.447845,36.012779,524.564331,62.877037,,,,375.466614,557.978333,73.955215,118.230095,189.932693,96.523209,-11.064808,44.993126,145.90332
standing up,0.041667,400.856995,504.290924,333.969604,414.153687,513.907593,430.523773,87.674316,529.334534,545.749573,189.48439,57.929398,556.148621,34.575195,19.428041,543.682312,387.560272,494.674225,237.415405,51.850349,512.233337,153.187622,166.217651,43.70755,143.188202,13.268277,13.429165,179.579575,,,,607.7724,505.325623,392.493896,,,,356.846649,625.181519,215.964676,263.309662,561.482544,594.623291,83.275833,533.111206,627.300293,118.677704,317.7164,627.887878,173.52655,80.879044,572.220825,231.629776,36.940102,513.132629,13.405462,46.272446,573.034119,375.467285,558.005066,73.931412,35.992702,524.544983,62.877239,118.209236,189.941238,96.538284,160.543289,82.694946,121.495209,218.626373,29.487045,190.411072,-11.067709,44.995232,145.891632,173.52655,80.879044,572.220825,,,,231.629776,36.940102,513.132629,83.275833,533.111206,627.300293,607.7724,505.325623,392.493896,263.309662,561.482544,594.623291,118.677704,317.7164,627.887878,13.405462,46.272446,573.034119,160.543289,82.694946,121.495209,356.846649,625.181519,215.964676,218.626373,29.487045,190.411072,35.992702,524.544983,62.877239,,,,375.467285,558.005066,73.931412,118.209236,189.941238,96.538284,-11.067709,44.995232,145.891632
standing up,0.05,400.828827,504.29834,333.96524,414.128693,513.930603,430.517487,87.663979,529.414734,545.777588,189.470078,58.008492,556.167725,34.559204,19.517746,543.689636,387.528992,494.666046,237.412994,51.819981,512.246216,153.18576,166.16684,43.714912,143.208969,13.219177,13.407488,179.583344,,,,607.772156,505.326019,392.481689,,,,356.816101,625.15918,215.933334,263.250366,561.563721,594.669495,83.232643,533.194397,627.360291,118.639725,317.866364,627.961975,173.814697,81.133286,572.450256,231.605225,36.981213,513.113586,13.344522,46.364254,573.036621,375.427826,557.994202,73.934364,35.967438,524.551636,62.883236,118.213676,189.921753,96.518204,160.298477,82.508446,121.367386,218.537918,29.567551,190.460983,-11.066626,44.978199,145.898376,173.814697,81.133286,572.450256,,,,231.605225,36.981213,513.113586,83.232643,533.194397,627.360291,607.772156,505.326019,392.481689,263.250366,561.563721,594.669495,118.639725,317.866364,627.961975,13.344522,46.364254,573.036621,160.298477,82.508446,121.367386,356.816101,625.15918,215.933334,218.537918,29.567551,190.460983,35.967438,524.551636,62.883236,,,,375.427826,557.994202,73.934364,118.213676,189.921753,96.518204,-11.066626,44.978199,145.898376
standing up,0.058333,400.844086,504.260071,333.960052,414.145355,513.898804,430.511444,87.687317,529.321106,545.798523,189.501709,57.917,556.202148,34.602089,19.382082,543.720703,387.542847,494.621368,237.408661,51.824928,512.189636,153.214706,166.214966,43.670147,143.181854,13.265029,13.410788,179.586655,,,,607.787903,505.305756,392.501526,,,,356.80603,625.128174,215.89447,263.314728,561.470825,594.648682,83.283981,533.108398,627.363464,118.704079,317.68576,627.927063,173.851089,80.929916,572.514709,231.609558,36.937737,513.150085,13.408442,46.230713,573.066711,375.418976,557.987549,73.950348,35.951885,524.552429,62.914097,118.18145,189.952316,96.540047,160.475662,82.416603,121.341064,218.631653,29.469727,190.420807,-11.07972,44.995289,145.909225,173.851089,80.929916,572.514709,,,,231.609558,36.937737,513.150085,83.283981,533.108398,627.363464,607.787903,505.305756,392.501526,263.314728,561.470825,594.648682,118.704079,317.68576,627.927063,13.408442,46.230713,573.066711,160.475662,82.416603,121.341064,356.80603,625.128174,215.89447,218.631653,29.469727,190.420807,35.951885,524.552429,62.914097,,,,375.418976,557.987549,73.950348,118.18145,189.952316,96.540047,-11.07972,44.995289,145.909225
standing up,0.066667,400.829895,504.294464,333.958313,414.133301,513.935364,430.509186,87.681114,529.41217,545.805237,189.460907,57.99976,556.174927,34.555569,19.493706,543.675476,387.526459,494.653564,237.407486,51.812561,512.264099,153.206467,166.178024,43.737709,143.214752,13.226212,13.43913,179.578842,,,,607.768311,505.313751,392.475433,,,,356.822784,625.151917,215.90712,263.281464,561.544617,594.668579,83.262695,533.177856,627.391846,118.670944,317.858551,627.983948,173.654999,81.124092,572.34729,231.619202,36.973835,513.13147,13.357595,46.341991,573.03833,375.435425,558.013428,73.917961,35.950378,524.551086,62.91256,118.185738,189.927032,96.523117,160.359741,82.713562,121.519112,218.558807,29.545832,190.445053,-11.075672,44.99564,145.886719,173.654999,81.124092,572.34729,,,,231.619202,36.973835,513.13147,83.262695,533.177856,627.391846,607.768311,505.313751,392.475433,263.281464,561.544617,594.668579,118.670944,317.858551,627.983948,13.357595,46.341991,573.03833,160.359741,82.713562,121.519112,356.822784,625.151917,215.90712,218.558807,29.545832,190.445053,35.950378,524.551086,62.91256,,,,375.435425,558.013428,73.917961,118.185738,189.927032,96.523117,-11.075672,44.99564,145.886719
standing up,0.075,400.838379,504.278198,333.957886,414.14502,513.91687,430.508545,87.70314,529.362488,545.838562,189.504288,57.955086,556.223694,34.596043,19.45759,543.733093,387.531738,494.639526,237.407211,51.809818,512.231995,153.233994,166.17421,43.706596,143.184433,13.228536,13.40792,179.574402,,,,607.790527,505.305176,392.47525,,,,356.825867,625.149048,215.909271,263.299469,561.480774,594.686951,83.272278,533.130249,627.414185,118.691162,317.762512,627.993958,174.076889,81.009644,572.658081,231.604034,36.941742,513.150085,13.377662,46.302406,573.085999,375.405975,557.980225,73.953926,35.940262,524.568481,62.941246,118.176781,189.950943,96.541306,160.34433,82.248146,121.171059,218.573425,29.570005,190.433533,-11.081429,44.996445,145.911591,174.076889,81.009644,572.658081,,,,231.604034,36.941742,513.150085,83.272278,533.130249,627.414185,607.790527,505.305176,392.47525,263.299469,561.480774,594.686951,118.691162,317.762512,627.993958,13.377662,46.302406,573.085999,160.34433,82.248146,121.171059,356.825867,625.149048,215.909271,218.573425,29.570005,190.433533,35.940262,524.568481,62.941246,,,,375.405975,557.980225,73.953926,118.176781,189.950943,96.541306,-11.081429,44.996445,145.911591
