Label,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,
walking,0.083333,-182.744217,909.916138,1880.592529,-280.363098,913.35498,1887.7146,-291.825287,568.043274,1914.773315,-303.242706,95.832977,2012.667603,-343.128967,23.047447,1875.751709,-85.125359,906.477356,1873.470581,-85.898697,560.566772,1894.660889,-83.19445,86.707474,1984.917603,-47.898067,17.457619,1844.94165,-280.613312,972.115051,1750.725098,,,,,,,-78.530251,978.078979,1735.8396,-378.743896,717.249573,1862.205933,-354.847321,548.959412,1887.494629,-370.298676,350.447296,1986.286987,-346.558777,88.159027,2011.366821,-281.788544,48.373333,2054.062012,-357.05896,47.471039,1848.876221,41.444218,865.112366,1824.626343,-19.114666,543.41333,1828.87854,-23.517899,213.0336,1958.798584,-43.084259,98.952393,1982.732666,-107.337433,31.556993,2036.261353,-44.30867,49.809582,1814.287476,-346.558777,88.159027,2011.366821,-280.613312,972.115051,1750.725098,-281.788544,48.373333,2054.062012,-354.847321,548.959412,1887.494629,,,,-378.743896,717.249573,1862.205933,-370.298676,350.447296,1986.286987,-357.05896,47.471039,1848.876221,-43.084259,98.952393,1982.732666,-78.530251,978.078979,1735.8396,-107.337433,31.556993,2036.261353,-19.114666,543.41333,1828.87854,,,,41.444218,865.112366,1824.626343,-23.517899,213.0336,1958.798584,-44.30867,49.809582,1814.287476,,,,,,,,,
walking,0.091667,-182.219543,909.874695,1880.657837,-279.842102,913.305725,1887.733032,-291.491394,568.022705,1915.076904,-303.235016,95.781204,2012.782104,-343.143738,23.073771,1875.831299,-84.596985,906.443665,1873.582642,-85.604858,560.510254,1894.385986,-83.14827,86.694565,1984.87854,-47.956497,17.433092,1844.88208,-280.026337,971.988403,1750.70166,,,,,,,-77.932594,977.99408,1736.017578,-378.280243,717.248474,1862.390747,-354.413208,549.031677,1887.787476,-370.07373,350.566772,1986.383911,-346.525452,88.157646,2011.426025,-281.857147,48.186668,2054.258301,-357.057556,47.50293,1848.912354,41.787476,865.068298,1824.324951,-18.835646,543.330383,1828.573853,-23.442188,212.969238,1958.617065,-43.030235,98.878395,1982.746338,-107.372337,31.657793,2036.128296,-44.325138,49.804611,1814.287842,-346.525452,88.157646,2011.426025,-280.026337,971.988403,1750.70166,-281.857147,48.186668,2054.258301,-354.413208,549.031677,1887.787476,,,,-378.280243,717.248474,1862.390747,-370.07373,350.566772,1986.383911,-357.057556,47.50293,1848.912354,-43.030235,98.878395,1982.746338,-77.932594,977.99408,1736.017578,-107.372337,31.657793,2036.128296,-18.835646,543.330383,1828.573853,,,,41.787476,865.068298,1824.324951,-23.442188,212.969238,1958.617065,-44.325138,49.804611,1814.287842,,,,,,,,,
walking,0.1,-181.648819,909.843872,1880.680908,-279.273651,913.272766,1887.726196,-291.127136,568.019897,1915.361572,-303.216187,95.751434,2012.893921,-343.186157,23.122362,1875.919312,-84.023964,906.414978,1873.63562,-85.282539,560.461609,1894.090332,-83.121582,86.702705,1984.887451,-48.026844,17.461815,1844.856445,-279.389984,971.886108,1750.664551,,,,,,,-77.35083,977.985779,1736.004028,-377.771729,717.297791,1862.520508,-353.958862,549.101929,1888.019043,-369.788452,350.652893,1986.684692,-346.457794,88.216873,2011.430542,-281.962799,48.045124,2054.429199,-357.066101,47.56007,1848.963501,42.317135,864.93396,1824.5177,-18.511185,543.276062,1828.189453,-23.356129,212.940536,1958.390381,-43.04501,98.883919,1982.813599,-107.389313,31.659067,2036.146118,-44.368153,49.860371,1814.287109,-346.457794,88.216873,2011.430542,-279.389984,971.886108,1750.664551,-281.962799,48.045124,2054.429199,-353.958862,549.101929,1888.019043,,,,-377.771729,717.297791,1862.520508,-369.788452,350.652893,1986.684692,-357.066101,47.56007,1848.963501,-43.04501,98.883919,1982.813599,-77.35083,977.985779,1736.004028,-107.389313,31.659067,2036.146118,-18.511185,543.276062,1828.189453,,,,42.317135,864.93396,1824.5177,-23.356129,212.940536,1958.390381,-44.368153,49.860371,1814.287109,,,,,,,,,
walking,0.108333,-181.016037,909.827087,1880.662842,-278.640442,913.261353,1887.711426,-290.714661,568.037048,1915.606201,-303.165619,95.745323,2012.980713,-343.214111,23.145802,1876.013428,-83.391647,906.392883,1873.614136,-84.931213,560.421326,1893.740723,-83.097008,86.719391,1984.841675,-48.093742,17.472149,1844.790894,-278.725372,971.827942,1750.675537,,,,,,,-76.71534,977.989624,1735.924805,-377.216522,717.305481,1862.661377,-353.463257,549.175293,1888.218506,-369.514648,350.844727,1986.762085,-346.401245,88.283134,2011.461914,-282.024841,47.93409,2054.610352,-357.047516,47.569309,1849.001221,42.763004,864.861267,1824.321289,-18.160139,543.215271,1827.823242,-23.268208,212.871216,1958.246216,-42.996319,98.840942,1982.799194,-107.444572,31.719978,2036.005737,-44.391174,49.869553,1814.290039,-346.401245,88.283134,2011.461914,-278.725372,971.827942,1750.675537,-282.024841,47.93409,2054.610352,-353.463257,549.175293,1888.218506,,,,-377.216522,717.305481,1862.661377,-369.514648,350.844727,1986.762085,-357.047516,47.569309,1849.001221,-42.996319,98.840942,1982.799194,-76.71534,977.989624,1735.924805,-107.444572,31.719978,2036.005737,-18.160139,543.215271,1827.823242,,,,42.763004,864.861267,1824.321289,-23.268208,212.871216,1958.246216,-44.391174,49.869553,1814.290039,,,,,,,,,
walking,0.116667,-180.490768,909.78186,1881.083008,-278.138,913.187439,1887.822388,-290.344849,567.984436,1915.922241,-303.12265,95.656723,2013.079346,-343.212769,23.134985,1876.083008,-82.843498,906.376282,1874.343628,-84.417267,560.365173,1893.776123,-83.389557,86.622002,1984.675293,-47.947239,17.415695,1844.7146,-278.13916,971.792725,1750.655151,,,,,,,-76.04113,977.948914,1735.823608,-376.695709,717.351807,1862.754883,-352.984253,549.219177,1888.375122,-369.15097,350.884674,1987.041382,-346.327942,88.360512,2011.471069,-282.075287,47.811489,2054.730957,-357.03717,47.602886,1849.016479,46.776814,862.963318,1832.951904,-17.793673,543.169922,1827.341553,-23.181322,212.858276,1958.05835,-42.968323,98.83004,1982.788452,-107.490883,31.794037,2035.857422,-44.411934,49.874123,1814.299194,-346.327942,88.360512,2011.471069,-278.13916,971.792725,1750.655151,-282.075287,47.811489,2054.730957,-352.984253,549.219177,1888.375122,,,,-376.695709,717.351807,1862.754883,-369.15097,350.884674,1987.041382,-357.03717,47.602886,1849.016479,-42.968323,98.83004,1982.788452,-76.04113,977.948914,1735.823608,-107.490883,31.794037,2035.857422,-17.793673,543.169922,1827.341553,,,,46.776814,862.963318,1832.951904,-23.181322,212.858276,1958.05835,-44.411934,49.874123,1814.299194,,,,,,,,,
walking,0.125,-179.874893,909.712769,1881.083252,-277.526367,913.13269,1887.754883,-289.924225,567.955017,1916.081543,-303.045441,95.612854,2013.122559,-343.243713,23.120762,1876.141968,-82.223427,906.292908,1874.411621,-83.97023,560.253723,1893.321411,-83.403801,86.593567,1984.655884,-48.040226,17.364658,1844.686523,-277.431732,971.744385,1750.609497,,,,,,,-75.352516,977.831055,1735.862305,-376.04071,717.394104,1862.773926,-352.511902,549.257812,1888.473999,-368.846436,350.971008,1987.025391,-346.246307,88.399727,2011.47937,-282.117828,47.735405,2054.861816,-357.01828,47.587219,1848.998047,47.546535,862.44928,1832.652954,-17.457893,543.083862,1826.935059,-23.136024,212.782791,1957.975098,-42.972343,98.760048,1982.744507,-107.482681,31.759157,2035.946167,-44.422054,49.865482,1814.310181,-346.246307,88.399727,2011.47937,-277.431732,971.744385,1750.609497,-282.117828,47.735405,2054.861816,-352.511902,549.257812,1888.473999,,,,-376.04071,717.394104,1862.773926,-368.846436,350.971008,1987.025391,-357.01828,47.587219,1848.998047,-42.972343,98.760048,1982.744507,-75.352516,977.831055,1735.862305,-107.482681,31.759157,2035.946167,-17.457893,543.083862,1826.935059,,,,47.546535,862.44928,1832.652954,-23.136024,212.782791,1957.975098,-44.422054,49.865482,1814.310181,,,,,,,,,
walking,0.133333,-179.25795,909.627502,1881.103271,-276.911377,913.071106,1887.732788,-289.493347,567.911865,1916.203003,-302.93277,95.556732,2013.137573,-343.255219,23.08321,1876.183838,-81.604515,906.183899,1874.473755,-83.576988,560.118896,1892.881592,-83.387802,86.542068,1984.648682,-48.109299,17.302237,1844.66333,-276.768311,971.682922,1750.582275,,,,,,,-74.68235,977.712708,1736.056641,-375.452789,717.398315,1862.798706,-352.043884,549.313416,1888.444336,-368.540588,351.035797,1986.960693,-346.174683,88.410179,2011.513184,-282.087158,47.617912,2054.957031,-356.986725,47.554817,1848.977173,48.31469,861.904663,1832.338135,-17.082098,542.92395,1826.667114,-23.081474,212.729431,1957.88147,-42.908291,98.693092,1982.719238,-107.476654,31.740274,2035.953979,-44.434177,49.817383,1814.306885,-346.174683,88.410179,2011.513184,-276.768311,971.682922,1750.582275,-282.087158,47.617912,2054.957031,-352.043884,549.313416,1888.444336,,,,-375.452789,717.398315,1862.798706,-368.540588,351.035797,1986.960693,-356.986725,47.554817,1848.977173,-42.908291,98.693092,1982.719238,-74.68235,977.712708,1736.056641,-107.476654,31.740274,2035.953979,-17.082098,542.92395,1826.667114,,,,48.31469,861.904663,1832.338135,-23.081474,212.729431,1957.88147,-44.434177,49.817383,1814.306885,,,,,,,,,
walking,0.141667,-178.698441,909.594849,1881.081177,-276.353546,913.062744,1887.674316,-289.108429,567.918518,1916.248413,-302.849823,95.560699,2013.127075,-343.286499,23.067646,1876.217407,-81.043335,906.126892,1874.488159,-83.263908,560.039978,1892.450073,-83.39859,86.537598,1984.60083,-48.178391,17.280579,1844.609253,-276.154755,971.668274,1750.531494,,,,,,,-74.035645,977.643433,1736.171997,-374.900055,717.412292,1862.740601,-351.596191,549.364502,1888.356201,-368.288818,351.133698,1986.809204,-346.141235,88.462242,2011.513184,-282.104767,47.567196,2055.041504,-356.976624,47.535416,1848.947998,48.649399,861.895996,1831.687622,-16.716673,542.744507,1826.456665,-23.018726,212.728851,1957.75354,-42.910156,98.626297,1982.72937,-107.534706,31.804163,2035.806396,-44.474491,49.798424,1814.318237,-346.141235,88.462242,2011.513184,-276.154755,971.668274,1750.531494,-282.104767,47.567196,2055.041504,-351.596191,549.364502,1888.356201,,,,-374.900055,717.412292,1862.740601,-368.288818,351.133698,1986.809204,-356.976624,47.535416,1848.947998,-42.910156,98.626297,1982.72937,-74.035645,977.643433,1736.171997,-107.534706,31.804163,2035.806396,-16.716673,542.744507,1826.456665,,,,48.649399,861.895996,1831.687622,-23.018726,212.728851,1957.75354,-44.474491,49.798424,1814.318237,,,,,,,,,
walking,0.15,-178.101685,909.544128,1881.025146,-275.756958,913.041504,1887.600464,-288.703033,567.909973,1916.241699,-302.760651,95.560432,2013.115356,-343.324646,23.032166,1876.262085,-80.446449,906.046692,1874.449951,-82.924156,559.945374,1892.09729,-83.337715,86.528625,1984.686035,-48.222012,17.25424,1844.676758,-275.460602,971.602417,1750.48877,,,,,,,-73.401268,977.613037,1736.140869,-374.333038,717.467407,1862.641357,-351.12265,549.415771,1888.205322,-368.082123,351.188416,1986.626343,-346.075745,88.451553,2011.568115,-282.111908,47.541828,2055.105713,-356.964325,47.498226,1848.942627,49.019753,861.867554,1831.113647,-16.364727,542.595032,1826.309082,-22.94886,212.751892,1957.650757,-42.864124,98.542397,1982.740601,-107.475815,31.732306,2036.015747,-44.495026,49.761139,1814.337524,-346.075745,88.451553,2011.568115,-275.460602,971.602417,1750.48877,-282.111908,47.541828,2055.105713,-351.12265,549.415771,1888.205322,,,,-374.333038,717.467407,1862.641357,-368.082123,351.188416,1986.626343,-356.964325,47.498226,1848.942627,-42.864124,98.542397,1982.740601,-73.401268,977.613037,1736.140869,-107.475815,31.732306,2036.015747,-16.364727,542.595032,1826.309082,,,,49.019753,861.867554,1831.113647,-22.94886,212.751892,1957.650757,-44.495026,49.761139,1814.337524,,,,,,,,,
walking,0.158333,-177.46788,909.5401,1880.894897,-275.120728,913.06781,1887.488647,-288.282898,567.950684,1916.204712,-302.658752,95.61145,2013.082031,-343.39093,23.066044,1876.287842,-79.815041,906.01239,1874.301147,-82.585587,559.901001,1891.706055,-83.319122,86.562576,1984.692505,-48.260754,17.280071,1844.672974,-274.767456,971.635742,1750.420288,,,,,,,-72.750191,977.678406,1735.944336,-373.885468,717.500793,1862.539307,-350.746094,549.470154,1888.108887,-367.841888,351.204376,1986.645386,-346.030518,88.490211,2011.543457,-282.119995,47.50296,2055.109375,-356.961731,47.528446,1848.956177,49.423153,861.830872,1830.447754,-16.013405,542.506714,1826.075195,-22.82626,212.771042,1957.549194,-42.799175,98.50396,1982.804932,-107.528175,31.80043,2035.919678,-44.519226,49.788136,1814.377563,-346.030518,88.490211,2011.543457,-274.767456,971.635742,1750.420288,-282.119995,47.50296,2055.109375,-350.746094,549.470154,1888.108887,,,,-373.885468,717.500793,1862.539307,-367.841888,351.204376,1986.645386,-356.961731,47.528446,1848.956177,-42.799175,98.50396,1982.804932,-72.750191,977.678406,1735.944336,-107.528175,31.80043,2035.919678,-16.013405,542.506714,1826.075195,,,,49.423153,861.830872,1830.447754,-22.82626,212.771042,1957.549194,-44.519226,49.788136,1814.377563,,,,,,,,,
