Label,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
standing up,0,409.547455,504.746918,322.971283,423.119476,513.070129,419.60733,97.988487,531.039978,538.227539,185.183975,56.770325,550.938782,29.267698,20.790495,545.443359,395.975403,496.423706,226.335236,63.349724,511.528625,130.232498,184.220718,44.590084,122.818825,26.711807,15.941843,125.01989,,,,615.287537,510.604248,381.000275,,,,359.175964,624.837463,208.397797,277.065094,562.597839,584.309387,96.337181,537.283752,618.003113,125.470474,320.613007,620.00354,170.023239,79.455009,566.617493,225.993347,33.518063,507.039795,9.109897,47.134964,575.460876,387.604736,567.625549,64.86882,50.440357,526.956055,34.677879,139.305405,191.20723,72.644142,179.849365,84.349838,102.301025,225.098907,28.831137,178.524673,8.86436,45.89307,89.627876,170.023239,79.455009,566.617493,,,,225.993347,33.518063,507.039795,96.337181,537.283752,618.003113,615.287537,510.604248,381.000275,277.065094,562.597839,584.309387,125.470474,320.613007,620.00354,9.109897,47.134964,575.460876,179.849365,84.349838,102.301025,359.175964,624.837463,208.397797,225.098907,28.831137,178.524673,50.440357,526.956055,34.677879,,,,387.604736,567.625549,64.86882,139.305405,191.20723,72.644142,8.86436,45.89307,89.627876
standing up,0.008333,409.558014,504.722046,322.977722,423.130737,513.053833,419.612915,97.992744,531.028503,538.213013,185.237167,56.76955,550.986938,29.313295,20.81963,545.512695,395.985291,496.390289,226.342529,63.359707,511.481689,130.237152,184.22821,44.542492,122.829826,26.708485,15.954674,125.041199,,,,615.314453,510.572083,381.005341,,,,359.189178,624.832642,208.384125,277.077026,562.568115,584.328918,96.346176,537.24707,618.013062,125.492973,320.537567,619.987732,170.382233,79.617722,566.923523,225.998001,33.498386,507.071564,9.112072,47.148712,575.475891,387.61908,567.602661,64.856964,50.46207,526.951416,34.655968,139.236832,191.303116,72.736595,179.921692,83.865326,102.038765,225.099319,28.77142,178.530212,8.872659,45.904182,89.672974,170.382233,79.617722,566.923523,,,,225.998001,33.498386,507.071564,96.346176,537.24707,618.013062,615.314453,510.572083,381.005341,277.077026,562.568115,584.328918,125.492973,320.537567,619.987732,9.112072,47.148712,575.475891,179.921692,83.865326,102.038765,359.189178,624.832642,208.384125,225.099319,28.77142,178.530212,50.46207,526.951416,34.655968,,,,387.61908,567.602661,64.856964,139.236832,191.303116,72.736595,8.872659,45.904182,89.672974
standing up,0.016667,409.583649,504.701843,322.933655,423.148376,513.035095,419.569885,98.009941,531.029968,538.166016,185.243515,56.770027,550.977112,29.31951,20.82093,545.499268,396.018951,496.368591,226.297409,63.393177,511.385315,130.180511,184.236969,44.441818,122.64283,26.719719,15.841607,124.874817,,,,615.315796,510.56839,380.97403,,,,359.219025,624.799805,208.357727,277.098206,562.587097,584.288269,96.364098,537.274353,617.970581,125.524612,320.550842,619.942505,170.364639,79.594833,566.818176,225.996429,33.502048,507.085266,9.123358,47.142963,575.451965,387.662109,567.62439,64.813995,50.491112,526.966064,34.612682,139.333374,191.198837,72.640686,179.888596,83.266014,100.502495,225.098236,28.793856,178.524689,8.900849,45.816605,89.619453,170.364639,79.594833,566.818176,,,,225.996429,33.502048,507.085266,96.364098,537.274353,617.970581,615.315796,510.56839,380.97403,277.098206,562.587097,584.288269,125.524612,320.550842,619.942505,9.123358,47.142963,575.451965,179.888596,83.266014,100.502495,359.219025,624.799805,208.357727,225.098236,28.793856,178.524689,50.491112,526.966064,34.612682,,,,387.662109,567.62439,64.813995,139.333374,191.198837,72.640686,8.900849,45.816605,89.619453
standing up,0.025,409.564545,504.7323,322.957764,423.140625,513.064392,419.592438,98.000885,531.088318,538.180115,185.210648,56.823463,550.970764,29.291927,20.850975,545.499023,395.988495,496.400238,226.323059,63.37875,511.597382,130.179886,184.199936,44.644745,122.847092,26.680962,16.054295,125.078529,,,,615.33075,510.549133,380.966278,,,,359.217804,624.807312,208.360611,277.063995,562.658875,584.310852,96.339661,537.330505,617.98114,125.472099,320.660004,620.01062,170.215958,79.65815,566.827881,225.998291,33.533161,507.055511,9.106954,47.171528,575.476013,387.661621,567.58667,64.824547,50.503376,526.9729,34.596722,139.250198,191.320602,72.705582,179.78772,84.389351,102.412987,225.099411,28.836042,178.507919,8.842838,45.996967,89.658981,170.215958,79.65815,566.827881,,,,225.998291,33.533161,507.055511,96.339661,537.330505,617.98114,615.33075,510.549133,380.966278,277.063995,562.658875,584.310852,125.472099,320.660004,620.01062,9.106954,47.171528,575.476013,179.78772,84.389351,102.412987,359.217804,624.807312,208.360611,225.099411,28.836042,178.507919,50.503376,526.9729,34.596722,,,,387.661621,567.58667,64.824547,139.250198,191.320602,72.705582,8.842838,45.996967,89.658981
standing up,0.033333,409.590759,504.715454,322.934204,423.16687,513.064758,419.567413,98.023354,531.050659,538.150452,185.24646,56.789875,550.998657,29.32939,20.813089,545.507446,396.014618,496.36615,226.30101,63.411861,511.531006,130.128082,184.259995,44.583885,122.889893,26.748404,15.949574,125.078705,,,,615.343018,510.539185,380.952637,,,,359.239655,624.803528,208.309814,277.112274,562.618469,584.273132,96.379478,537.314575,617.955688,125.555557,320.524323,619.916992,170.456848,79.563751,566.88324,225.984467,33.538887,507.121857,9.134101,47.129841,575.453064,387.713043,567.619934,64.77211,50.531212,526.981201,34.576859,139.371613,191.189133,72.583626,180.210419,84.251305,102.599998,225.079498,28.794437,178.531036,8.878555,45.852787,89.674591,170.456848,79.563751,566.88324,,,,225.984467,33.538887,507.121857,96.379478,537.314575,617.955688,615.343018,510.539185,380.952637,277.112274,562.618469,584.273132,125.555557,320.524323,619.916992,9.134101,47.129841,575.453064,180.210419,84.251305,102.599998,359.239655,624.803528,208.309814,225.079498,28.794437,178.531036,50.531212,526.981201,34.576859,,,,387.713043,567.619934,64.77211,139.371613,191.189133,72.583626,8.878555,45.852787,89.674591
standing up,0.041667,409.601562,504.720337,322.889008,423.173157,513.064087,419.523285,98.038193,531.123047,538.119141,185.198837,56.850998,550.979187,29.287756,20.845127,545.507629,396.029968,496.376587,226.254669,63.409657,511.481689,130.133163,184.215912,44.529022,122.562126,26.68862,15.988793,124.847931,,,,615.362854,510.549652,380.912903,,,,359.246979,624.808777,208.322632,277.085052,562.723022,584.258057,96.35939,537.415588,617.946167,125.492897,320.727112,620.008484,170.176437,79.671303,566.777527,225.977219,33.587784,507.072571,9.101583,47.161491,575.473083,387.697968,567.611084,64.767914,50.536289,527.007202,34.562351,139.258575,191.34877,72.669426,179.966873,83.262878,99.654945,225.090515,28.897669,178.507736,8.826817,46.026188,89.65818,170.176437,79.671303,566.777527,,,,225.977219,33.587784,507.072571,96.35939,537.415588,617.946167,615.362854,510.549652,380.912903,277.085052,562.723022,584.258057,125.492897,320.727112,620.008484,9.101583,47.161491,575.473083,179.966873,83.262878,99.654945,359.246979,624.808777,208.322632,225.090515,28.897669,178.507736,50.536289,527.007202,34.562351,,,,387.697968,567.611084,64.767914,139.258575,191.34877,72.669426,8.826817,46.026188,89.65818
standing up,0.05,409.610748,504.723419,322.922729,423.194275,513.069031,419.555237,98.054352,531.098938,538.141724,185.221466,56.828648,551.020752,29.312983,20.815845,545.521912,396.027222,496.377869,226.290253,63.434422,511.573914,130.088104,184.250473,44.61795,122.880219,26.744425,15.955776,125.105545,,,,615.36554,510.541931,380.898682,,,,359.280579,624.772888,208.321198,277.118011,562.673584,584.257446,96.382538,537.372864,617.942688,125.540871,320.6091,619.963989,170.417007,79.595657,566.908447,225.978806,33.573265,507.127533,9.11272,47.130211,575.476746,387.71637,567.623047,64.739464,50.555031,527.019592,34.563511,139.362671,191.21962,72.556,180.155014,84.387871,102.697853,225.089661,28.826906,178.530273,8.88184,45.866405,89.664528,170.417007,79.595657,566.908447,,,,225.978806,33.573265,507.127533,96.382538,537.372864,617.942688,615.36554,510.541931,380.898682,277.118011,562.673584,584.257446,125.540871,320.6091,619.963989,9.11272,47.130211,575.476746,180.155014,84.387871,102.697853,359.280579,624.772888,208.321198,225.089661,28.826906,178.530273,50.555031,527.019592,34.563511,,,,387.71637,567.623047,64.739464,139.362671,191.21962,72.556,8.88184,45.866405,89.664528
standing up,0.058333,409.604797,504.75412,322.908142,423.195007,513.11084,419.538727,98.051132,531.172058,538.109802,185.156662,56.89183,551.042114,29.258385,20.837757,545.524231,396.014557,496.39743,226.277542,63.41198,511.703247,130.126175,184.233643,44.748394,122.939034,26.72954,16.071835,125.115784,,,,615.355835,510.54187,380.877258,,,,359.303223,624.810486,208.298904,277.124725,562.72998,584.223083,96.384018,537.439514,617.914307,125.519234,320.708984,619.986206,170.246964,79.640694,566.792786,225.899414,33.656307,507.188751,9.104916,47.135708,575.470337,387.73172,567.625977,64.715065,50.562222,527.032471,34.537815,139.286011,191.347519,72.618668,180.043686,84.938995,103.024529,225.08847,28.882458,178.533096,8.860944,45.939728,89.653702,170.246964,79.640694,566.792786,,,,225.899414,33.656307,507.188751,96.384018,537.439514,617.914307,615.355835,510.54187,380.877258,277.124725,562.72998,584.223083,125.519234,320.708984,619.986206,9.104916,47.135708,575.470337,180.043686,84.938995,103.024529,359.303223,624.810486,208.298904,225.08847,28.882458,178.533096,50.562222,527.032471,34.537815,,,,387.73172,567.625977,64.715065,139.286011,191.347519,72.618668,8.860944,45.939728,89.653702
standing up,0.066667,409.618073,504.741425,322.875854,423.196747,513.098145,419.508087,98.061172,531.188599,538.09729,185.134476,56.904106,551.085144,29.236853,20.847816,545.56311,396.039429,496.384735,226.243637,63.426941,511.535034,130.102127,184.203568,44.572174,122.685936,26.682631,15.993617,124.930771,,,,615.356384,510.530762,380.874664,,,,359.332123,624.841614,208.291931,277.108673,562.741882,584.243103,96.378143,537.443909,617.931274,125.496803,320.72464,620.03949,170.264359,79.678833,566.905457,225.873108,33.667992,507.234467,9.087052,47.147827,575.495483,387.659698,567.622864,64.694511,50.573704,527.033875,34.52964,139.376648,191.231552,72.542152,179.752365,83.480995,100.583817,225.083694,28.87236,178.552307,8.85793,45.9608,89.663742,170.264359,79.678833,566.905457,,,,225.873108,33.667992,507.234467,96.378143,537.443909,617.931274,615.356384,510.530762,380.874664,277.108673,562.741882,584.243103,125.496803,320.72464,620.03949,9.087052,47.147827,575.495483,179.752365,83.480995,100.583817,359.332123,624.841614,208.291931,225.083694,28.87236,178.552307,50.573704,527.033875,34.52964,,,,387.659698,567.622864,64.694511,139.376648,191.231552,72.542152,8.85793,45.9608,89.663742
standing up,0.075,409.626434,504.761169,322.886078,423.207733,513.112061,419.518402,98.065674,531.176697,538.093445,185.148697,56.894691,551.108459,29.252783,20.835091,545.559998,396.045105,496.410217,226.253754,63.445656,511.591919,130.072464,184.245468,44.63166,122.873024,26.736378,15.984193,125.072777,,,,615.339478,510.519806,380.874786,,,,359.375153,624.856873,208.289322,277.134094,562.72467,584.209656,96.401627,537.446838,617.905151,125.536842,320.651428,619.971436,170.398666,79.642281,566.88623,225.868896,33.661369,507.287323,9.103337,47.130539,575.486267,387.704651,567.632507,64.64299,50.582661,527.022949,34.504784,139.301117,191.340454,72.622162,180.208069,84.301186,102.472305,225.081116,28.837597,178.574371,8.88862,45.874725,89.664474,170.398666,79.642281,566.88623,,,,225.868896,33.661369,507.287323,96.401627,537.446838,617.905151,615.339478,510.519806,380.874786,277.134094,562.72467,584.209656,125.536842,320.651428,619.971436,9.103337,47.130539,575.486267,180.208069,84.301186,102.472305,359.375153,624.856873,208.289322,225.081116,28.837597,178.574371,50.582661,527.022949,34.504784,,,,387.704651,567.632507,64.64299,139.301117,191.340454,72.622162,8.88862,45.874725,89.664474
